dataset,domain,architecture,run_id,timestamp,accuracy,f1_macro,f1_weighted,latency_ms,latency_std,failure_rate,explainability_score,avg_confidence,dependency,error_tolerance,ambiguity
UCI_Heart_Disease,healthcare,SemiSymbolic,8,2026-04-13T17:21:53.685203,0.8,0.7916666666666667,0.7972222222222223,0.0008779327074686686,0.00018085056093159073,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,8,2026-04-13T17:21:53.997862,0.7,0.6986607142857143,0.7,0.004326268037160237,0.000620258444679481,0.0,3.0,0.8867224307689516,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,9,2026-04-13T17:21:54.074022,0.7833333333333333,0.783273131425396,0.7833935352412706,0.0008661866188049317,0.00016422333008921916,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,9,2026-04-13T17:21:54.381488,0.7666666666666667,0.7624434389140271,0.764555052790347,0.004208115736643474,0.0004570593566702495,0.0,3.0,0.8219923911512097,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,10,2026-04-13T17:21:54.485020,0.8,0.784688995215311,0.8,0.0010658025741577149,0.0005756110600094278,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,10,2026-04-13T17:21:54.795083,0.85,0.8499583217560434,0.8502083912197833,0.004204960664113362,0.0003771227356269381,0.0,3.0,0.8543574109600807,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,11,2026-04-13T17:21:54.872571,0.85,0.8499583217560434,0.8500416782439566,0.0008890549341837565,0.00022256624425513803,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,11,2026-04-13T17:21:55.634959,0.8333333333333334,0.8331479421579533,0.8331479421579533,0.01134005387624105,0.010622904590686998,0.0,3.0,0.8867224307689517,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,12,2026-04-13T17:21:55.799319,0.7833333333333333,0.7757976430008624,0.7812781450608413,0.0019152283668518067,0.0013646619071572272,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,12,2026-04-13T17:21:57.482069,0.7833333333333333,0.7591849336214882,0.7896881753627663,0.0205458402633667,0.022571897039761472,0.0,3.0,0.8219923911512097,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,13,2026-04-13T17:21:57.618816,0.7833333333333333,0.7644216248867413,0.7866706936474379,0.0014969905217488606,0.0008479303310685879,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,13,2026-04-13T17:21:58.386047,0.7833333333333333,0.783273131425396,0.7836343428730203,0.009001843134562175,0.012355056956640804,0.0,3.0,0.8219923911512097,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,14,2026-04-13T17:21:58.468434,0.8333333333333334,0.8325892857142857,0.8325892857142857,0.0009551207224527995,0.00021105209743220435,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,14,2026-04-13T17:21:58.846917,0.8,0.7997775305895439,0.800444938820912,0.00509188969930013,0.001953880959026638,0.0,3.0,0.8705399208645161,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,15,2026-04-13T17:21:58.923275,0.8166666666666667,0.8141368628555337,0.8177508683000094,0.0008645375569661459,0.00015358149650630422,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,15,2026-04-13T17:21:59.261876,0.7833333333333333,0.7726610317691636,0.7825123870591664,0.004747418562571208,0.0026299637397629062,0.0,3.0,0.8219923911512096,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,16,2026-04-13T17:21:59.337247,0.8666666666666667,0.8665183537263625,0.8669632925472748,0.000857396920522054,0.00016664133789898782,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,16,2026-04-13T17:21:59.639889,0.7166666666666667,0.706812302385743,0.7121874101753377,0.0041420261065165205,0.0005213589229836928,0.0,3.0,0.8058098812467741,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,17,2026-04-13T17:21:59.715347,0.75,0.7442455242966752,0.7506393861892583,0.0008535226186116537,0.00014995897419969057,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,17,2026-04-13T17:22:00.054583,0.7666666666666667,0.7664071190211346,0.7653689284390063,0.0042565623919169114,0.0006792132662166907,0.0,3.0,0.8543574109600807,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,18,2026-04-13T17:22:00.131324,0.85,0.849624060150376,0.8498746867167919,0.0008771657943725586,0.00018540138955355537,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,18,2026-04-13T17:22:00.439560,0.8833333333333333,0.8830409356725146,0.8834307992202729,0.004223783810933431,0.0004452258025281017,0.0,3.0,0.9352699604822582,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,SemiSymbolic,19,2026-04-13T17:22:00.514503,0.8666666666666667,0.8660714285714286,0.8663690476190475,0.0008547425270080567,0.00015578279460815147,0.0,2.4000000000000004,0.6000000000000001,2.5,3.65,2.5
UCI_Heart_Disease,healthcare,Concurrency,19,2026-04-13T17:22:00.859207,0.8666666666666667,0.8665183537263625,0.8663700407860586,0.004849930604298909,0.0016260708401681272,0.0,3.0,0.9029049406733871,2.5,3.65,2.5
NSL_KDD,cybersecurity,SemiSymbolic,0,2026-04-13T17:22:02.707036,0.815,0.8143490764991619,0.8149404151767962,0.000914560317993164,0.00030326373870234014,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,0,2026-04-13T17:22:12.329138,0.823,0.8238911887471971,0.822855020507538,0.00724232292175293,0.01123129302559694,0.0,3.0,0.46791907444216085,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,1,2026-04-13T17:22:14.089748,0.805,0.8051432969311296,0.8048975729321451,0.0009278097152709961,0.00035908255851440583,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,1,2026-04-13T17:22:21.514802,0.8,0.7997737895736321,0.7997189798922277,0.005056911945343017,0.0016673098227096156,0.0,3.0,0.44558721077403984,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,2,2026-04-13T17:22:25.709626,0.803,0.8017697271852169,0.8026854305294512,0.002249979019165039,0.002836193147789936,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,2,2026-04-13T17:22:33.021636,0.801,0.8001005197110176,0.8008248328199713,0.004923453330993652,0.001484511442404629,0.0,3.0,0.47762858038482214,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,3,2026-04-13T17:22:34.739972,0.815,0.8132962222392471,0.8146244824928089,0.0008917660713195801,0.00017027558441847228,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,3,2026-04-13T17:22:44.457665,0.807,0.8071436094639785,0.806920097755052,0.004896642446517945,0.001385725969060216,0.0,3.0,0.45141291433963665,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,4,2026-04-13T17:22:46.225657,0.837,0.8365801689613772,0.8368772608464305,0.0009620389938354492,0.00035823297813997895,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,4,2026-04-13T17:22:55.916700,0.809,0.8088998873730622,0.8086982201784052,0.00734071683883667,0.011225238822468458,0.0,3.0,0.4756866791962899,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,5,2026-04-13T17:22:57.685920,0.81,0.8089888312654934,0.8094915325776467,0.000924123764038086,0.0003989079576381293,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,5,2026-04-13T17:23:07.368079,0.809,0.8085337695871436,0.8084022292314369,0.00732047700881958,0.01041510194260476,0.0,3.0,0.4727738274134915,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,6,2026-04-13T17:23:09.130288,0.819,0.8187425136422546,0.8185429855806401,0.000924748420715332,0.00036798768301014704,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,6,2026-04-13T17:23:18.219799,0.786,0.7853505506522355,0.7858005070445735,0.006685742139816284,0.009987262881985487,0.0,3.0,0.4378196060199108,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,7,2026-04-13T17:23:20.586279,0.816,0.8154423489763282,0.8159243741852692,0.0010210630893707276,0.0008379169216408346,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,7,2026-04-13T17:23:27.881290,0.811,0.8113123152539465,0.8112744646157687,0.004899245738983154,0.0011858077562050804,0.0,3.0,0.45529671671670113,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,8,2026-04-13T17:23:31.757548,0.81,0.8088183984699923,0.8096819528959632,0.002997180938720703,0.004019058532522784,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,8,2026-04-13T17:23:39.437319,0.824,0.8237687762876631,0.823861792194377,0.004999393463134765,0.0012210661214628353,0.0,3.0,0.46694812384789475,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,9,2026-04-13T17:23:41.279600,0.797,0.7973023441893909,0.7970094325462147,0.0009888172149658202,0.00047025066480802977,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,9,2026-04-13T17:23:50.872383,0.827,0.8270862788707,0.8270463156362912,0.004833482742309571,0.0014020327739253785,0.0,3.0,0.4727738274134915,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,10,2026-04-13T17:23:52.688734,0.802,0.8016945378589341,0.8020035276806327,0.0009471149444580078,0.0003813644724311054,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,10,2026-04-13T17:24:02.320125,0.823,0.823164261248864,0.822949952323123,0.007297009468078613,0.011713054982012082,0.0,3.0,0.4902509381102818,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,11,2026-04-13T17:24:04.070985,0.818,0.8185442582912259,0.8178609926003173,0.0009477353096008301,0.0003816626421497575,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,11,2026-04-13T17:24:13.907283,0.799,0.7991850763654529,0.7990195596754348,0.007485917806625366,0.01269237220256918,0.0,3.0,0.461122420282298,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,12,2026-04-13T17:24:15.635987,0.814,0.8124845313964844,0.8138242088490822,0.0009228227138519287,0.00033980676904020294,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,12,2026-04-13T17:24:25.330440,0.808,0.8075831325170043,0.8084401387927612,0.007346737146377564,0.010556950456078748,0.0,3.0,0.4698609756306931,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,13,2026-04-13T17:24:27.133715,0.809,0.8068189286861058,0.8085498431379076,0.0009525032043457032,0.00040027623420150793,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,13,2026-04-13T17:24:34.381975,0.823,0.8230382091360223,0.8229788564071885,0.004863469839096069,0.0013317921515671937,0.0,3.0,0.4698609756306931,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,14,2026-04-13T17:24:38.609432,0.823,0.8227870744937974,0.8228834227210118,0.0033322880268096926,0.004252144894244047,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,14,2026-04-13T17:24:45.838181,0.815,0.8141213171445305,0.8145459295581673,0.004870108366012573,0.0013471461602821864,0.0,3.0,0.4659771732536286,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,15,2026-04-13T17:24:47.594303,0.815,0.8148632483984987,0.8143095423461503,0.0009448413848876954,0.0003880785289881533,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,15,2026-04-13T17:24:57.348398,0.816,0.814342884934818,0.8159161460703138,0.004923311233520508,0.0013402803094459278,0.0,3.0,0.43879055661417693,1.5,3.95,3.5
NSL_KDD,cybersecurity,SemiSymbolic,16,2026-04-13T17:24:59.162317,0.814,0.8139741678253142,0.8138233745369179,0.000961780309677124,0.00039063766425370027,0.0,2.399999999999999,0.5999999999999998,1.5,3.95,3.5
NSL_KDD,cybersecurity,Concurrency,16,2026-04-13T17:25:08.948543,0.811,0.8108660714037997,0.8111234395176086,0.007401943683624268,0.011919783765307793,0.0,3.0,0.45529671671670113,1.5,3.95,3.5
